NodePort,Component,Service name,targetPort,Port
30200,VID,vid,8443,8443
30201,SDNC,sdnc-portal,8843,8843
30202,SDNC,sdnc-8282,8181,8282
30203,SDNC,dgbuilder3,3100,3000
30204,SDC,sdc-be,8443,8443
30205,SDC,sdc-be2,8080,8080
30206,SDC,sdc-fe,8181,8181
30207,SDC,sdc-fe2,9443,9443
30208,SDNC,sdnc-8202,8181,8202
30209,ROBOT,httpd,88,88
30210,AAI,aai-modelloader,8080,8080
30211,APPC,appc-9090,9191,9090
30212,PORTAL,portal-sdk,8080,8080
30213,PORTAL,portal-app2,8005,8006
30214,PORTAL,portal-app3,8009,8010
30215,PORTAL,portal-app,8080,8989
30216,POLICY,brmsgw,9989,9989
30217,POLICY,drools-6969,6969,6969
30218,POLICY,pap-9091,9091,9091
30219,POLICY,pap-8443,8443,8443
30220,AAI,aai-sparky-be,9517,9517
30221,POLICY,drools-9696,9696,9696
30222,DCAE,xdcae-hv-ves-collector,6061,6061
30223,DCAE,xdcae-datafile-collector,8100,8100
30224,SO,so-monitor-port,9091,9091
30225,PORTAL,portal-app4,8443,8443
30226,DMAAP,message-router-3905,3905,3905
30227,DMAAP,message-router-3904,3904,3904
30228,APPC,dgbuilder,3100,3000
30229,AAI,aai-modelloader-ssl,8443,8443
30230,APPC,appc-8282,8181,8282
30231,APPC,appc-1830,1830,1830
30232,AAI,aai,8080,8080
30233,AAI,aai-ssl,8443,8443
30234,POMBA,pomba-kibana,5601,5601
30235,DCAE,xdcae-ves-collector,8080,8080
30236,POLICY,nexus,8081,8081
30237,POLICY,policy-apex-pdp,12345,12345
30238,VID,vid-http,8080,8080
30239,AAI,spike,9518,9518
30241,DMAAP,dmaap-bc,8080,8080
30242,DMAAP,dmaap-bc2,8443,8443
30243,AAF,aaf-sms,10443,10443
30244,AAF,aaf-sms-db,8200,8200
30246,SDNC,sdnc-8280,8080,8280
30247,AAF,aaf-service,8100,8100
30248,OOF,oof-osdf,8699,8698
30249,POMBA,pomba-data-router,9502,9502
30251,AAF,aaf-gui,8200,8200
30252,SO,mariadb,3306,3306
30253,LOG,log-kibana,5601,5601
30254,LOG,log-es,9200,9200
30255,LOG,log-ls,5044,5044
30256,SDC,sdc-wfd-fe,8080,8080
30257,SDC,sdc-wfd-be,8080,8080
30258,CLAMP,clamp2,8443,8443
30259,DMAAP,dmaap-dr-prov,8080,8080
30260,CLI,cli8080,80,80
30261,MULTICLOUD,multicloud-azure,9008,9008
30262,DCAE,xdcae-datafile-collector,8433,8443
30263,DCAE,dcae-fe,8183,8183
30264,DCAE,dcae-fe2,9444,9444
30265,DCAE,dcae-dt,8186,8186
30266,DCAE,dcae-dt2,9446,9446
30267,SDNC,sdnc-8443,2550,8443
30268,AAI,aai-crud-service,9520,9520
30269,DMAAP,dmaap-dr-prov2,8443,8443
30270,CONSUL,consul-ui,8500,8500
30271,CLI,cli9090,8080,9090
30274,EXTAPI,api-8080,8080,8080
30275,OOF,oof-has-api,8091,8091
30277,SO,so-apih-port,8080,8080
30278,AAI,aai-champ,9522,9522
30279,AAI,babel,9516,9516
30280,MSB,http-msb-iag,80,80
30281,MSB,http-msb-discovery,10081,10081
30282,MSB,http-msb-eag,80,80
30283,MSB,https-msb-iag,443,443
30284,MSB,https-msb-eag,443,443
30285,MSB,http-msb-consul,8500,8500
30286,DCAE,client,6379,6379
30287,DCAE,gossip,16379,16379
30288,SNRIRO,httpd,80,80
30289,APPC,appc-cdt,80,80
30290,CLAMP,cdash-kibana,5601,5601
30291,MULTICLOUD,multicloud-framework,9001,9001
30292,MULTICLOUD,multicloud-vio,9004,9004
30293,MULTICLOUD,multicloud-ocata,9006,9006
30294,MULTICLOUD,multicloud-titaniumcloud,9005,9005
30295,CLAMP,clamp,8080,8080
30296,MULTICLOUD,multicloud-pike,9007,9007
30297,VNFSDK,refrepo,8702,8702
30398,UUI,uui,8080,8080
30399,UUI,uui-server,8082,8082
30420,CONTRIB,netbox-nginx,8080,8080
30476,DCAE,tomcat,8080,8080
32010,DCAE,xdcae-tca-analytics,11011,11011


